id,bill_no,customer_id,user_id,date_np,gross_amount,discount_amount,net_amount,vat_amount,tender_amount,due_amount,advance_amount,created_at,updated_at,fiscal_year_id,discount_percent,total_amount
1,1,5,21,2078-9-30,176.99,0.0,200.0,23.01,200.0,0.0,0.0,2022-07-19 01:55:18,2023-09-08 21:38:48,2,0.0,200.0
2,2,12,10,2079-3-30,619.46,0.0,699.99,80.53,699.99,0.0,0.0,2022-07-19 01:56:33,2023-09-08 21:42:25,2,0.0,699.99
3,3,20,9,2079-3-30,796.46,0.0,900.0,103.54,1000.0,-200.0,200.0,2022-07-19 01:56:53,2023-09-08 21:44:59,2,0.0,800.0
4,4,3,9,2079-3-30,442.48,0.0,500.0,57.52,500.0,0.0,0.0,2022-07-19 01:57:56,2023-09-08 21:52:04,2,0.0,500.0
5,5,17,21,2079-2-30,265.49,0.0,300.0,34.51,300.0,0.0,0.0,2022-07-19 01:58:05,2023-09-08 21:56:23,2,0.0,300.0
6,6,8,21,2079-2-30,265.49,0.0,300.0,34.51,300.0,0.0,0.0,2022-07-19 01:59:08,2023-09-08 21:56:25,2,0.0,300.0
7,7,15,14,2079-3-30,442.48,0.0,500.0,57.52,500.0,0.0,0.0,2022-07-19 01:59:15,2023-09-08 21:56:26,2,0.0,500.0
8,8,4,9,2079-3-30,442.48,0.0,500.0,57.52,500.0,0.0,0.0,2022-07-19 02:02:06,2023-09-08 21:56:27,2,0.0,500.0
9,9,14,14,2079-3-30,486.73,0.0,550.0,63.27,550.0,0.0,0.0,2022-07-19 02:02:16,2023-09-08 21:56:29,2,0.0,550.0
10,10,6,21,2079-3-30,265.49,0.0,300.0,34.51,300.0,0.0,0.0,2022-07-19 02:02:29,2023-09-08 21:56:30,2,0.0,300.0
11,11,2,9,2079-3-30,353.98,0.0,400.0,46.02,400.0,0.0,0.0,2022-07-19 02:04:32,2023-09-08 21:56:31,2,0.0,400.0
12,12,25,37,2079-3-30,353.98,0.0,400.0,46.02,400.0,0.0,0.0,2022-07-19 02:04:48,2023-09-08 21:56:32,2,0.0,400.0
13,13,9,10,2079-3-30,88.5,0.0,100.01,11.51,100.0,0.01,-0.01,2022-07-19 02:04:51,2023-09-10 04:14:12,2,0.0,100.01
14,14,22,4,2079-4-30,707.96,0.0,799.99,92.03,799.99,0.0,0.0,2022-07-19 02:05:17,2023-09-08 21:56:35,2,0.0,799.99
15,15,13,10,2079-3-30,88.5,0.0,100.01,11.51,100.0,100.0,-100.0,2022-07-19 02:05:50,2023-09-08 21:56:36,2,0.0,100.01
16,16,7,14,2079-3-30,486.73,0.0,550.0,63.27,550.0,0.0,0.0,2022-07-19 02:06:16,2023-09-08 21:56:37,2,0.0,550.0
17,17,18,10,2079-3-30,88.5,0.0,100.01,11.51,100.0,0.01,-0.01,2022-07-19 02:06:47,2023-09-08 21:56:39,2,0.0,100.01
18,18,19,10,2079-3-30,88.5,0.0,100.01,11.51,100.0,250.0,-250.0,2022-07-19 02:07:41,2023-09-08 21:56:40,2,0.0,100.01
19,19,23,37,2079-3-30,353.98,0.0,400.0,46.02,400.0,0.0,0.0,2022-07-19 02:07:54,2023-09-08 21:56:41,2,0.0,400.0
20,20,10,15,2079-3-30,619.46,0.0,699.99,80.53,700.0,-0.01,0.01,2022-07-19 02:08:14,2023-09-08 21:56:42,2,0.0,699.99
21,21,24,10,2079-3-30,88.5,0.0,100.01,11.51,100.0,0.01,-0.01,2022-07-19 02:08:39,2023-09-08 21:56:43,2,0.0,100.01
22,22,21,21,2079-2-30,530.98,0.0,600.01,69.03,600.0,0.01,-0.01,2022-07-19 02:09:14,2022-07-19 02:09:14,2,0.0,600.01
23,23,16,14,2079-3-30,973.46,0.0,1100.01,126.55,1100.0,0.01,-0.01,2022-07-19 02:09:49,2023-09-08 21:56:46,2,0.0,1100.01
24,24,25,10,2079-3-30,88.5,0.0,100.01,11.51,100.0,0.01,-0.01,2022-07-19 02:10:08,2023-09-08 21:56:47,2,0.0,100.01
25,25,11,3,2079-4-30,707.96,0.0,799.99,92.03,799.99,0.0,0.0,2022-07-19 02:10:08,2023-09-08 21:56:48,2,0.0,799.99
26,26,1,10,2079-3-30,88.5,0.0,100.01,11.51,100.0,0.01,-0.01,2022-07-19 02:10:56,2023-09-08 21:56:49,2,0.0,100.01
27,27,13,21,2078-12-30,265.49,0.0,300.0,34.51,300.0,0.0,0.0,2022-07-19 02:11:25,2023-09-08 21:56:51,2,0.0,300.0
28,28,25,3,2079-3-30,398.23,0.0,450.0,51.77,450.0,0.0,0.0,2022-07-19 02:11:42,2023-09-08 21:56:52,2,0.0,450.0
29,29,22,14,2079-3-30,486.73,0.0,550.0,63.27,550.0,0.0,0.0,2022-07-19 02:12:20,2023-09-08 21:56:53,2,0.0,550.0
30,30,4,37,2079-3-30,309.73,0.0,349.99,40.26,350.0,-0.01,0.01,2022-07-19 02:12:44,2023-09-08 21:56:54,2,0.0,349.99
31,31,25,10,2079-3-30,88.5,0.0,100.01,11.51,100.0,0.01,-0.01,2022-07-19 02:12:55,2023-09-08 21:56:56,2,0.0,100.01
32,32,8,9,2079-3-30,448.23,0.0,506.5,58.27,500.0,6.5,-6.5,2022-07-19 02:13:19,2023-09-08 21:56:57,2,0.0,506.5
33,33,5,21,2079-3-30,265.49,0.0,300.0,34.51,300.0,0.0,0.0,2022-07-19 02:13:28,2023-09-08 21:56:58,2,0.0,300.0
34,34,19,4,2080-3-30,4601.76,460.18,4679.99,538.41,4679.99,0.0,0.0,2022-07-19 02:13:45,2023-09-08 21:56:59,2,10.0,4679.99
